Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,CryoSleep,Destination,VIP,Cabin_Deck,Cabin_Number,Cabin_Side,Passenger_Group,Passenger_Number,Transported
39.0,0.0,0.0,0.0,0.0,0.0,Europa,False,TRAPPIST-1e,False,B,0,P,0001,01,False
24.0,109.0,9.0,25.0,549.0,44.0,Earth,False,TRAPPIST-1e,False,F,0,S,0002,01,True
58.0,43.0,3576.0,0.0,3926.0,49.0,Europa,False,TRAPPIST-1e,True,A,0,S,0003,01,False
33.0,0.0,1283.0,371.0,3329.0,193.0,Europa,False,TRAPPIST-1e,False,A,0,S,0003,02,False
16.0,303.0,70.0,151.0,565.0,2.0,Earth,False,TRAPPIST-1e,False,F,1,S,0004,01,True
44.0,0.0,483.0,0.0,291.0,0.0,Earth,False,PSO J318.5-22,False,F,0,P,0005,01,True
26.0,42.0,1539.0,3.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,F,2,S,0006,01,True
28.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,0,S,0006,02,True
35.0,0.0,785.0,17.0,216.0,0.0,Earth,False,TRAPPIST-1e,False,F,3,S,0007,01,True
14.0,0.0,0.0,0.0,0.0,0.0,Europa,True,55 Cancri e,False,B,1,P,0008,01,True
34.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,1,P,0008,02,True
45.0,39.0,5840.0,589.0,110.0,124.0,Europa,False,55 Cancri e,False,B,1,P,0008,03,True
32.0,73.0,0.0,1123.0,0.0,113.0,Mars,False,TRAPPIST-1e,False,F,1,P,0009,01,True
48.0,719.0,1.0,65.0,0.0,24.0,Earth,False,TRAPPIST-1e,False,G,1,S,0010,01,False
28.0,8.0,974.0,12.0,2.0,7.0,Earth,False,TRAPPIST-1e,False,F,2,P,0011,01,True
31.0,32.0,0.0,876.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,00,00,00,0012,01,False
27.0,1286.0,122.0,162.0,0.0,0.0,Mars,False,55 Cancri e,False,F,3,P,0014,01,False
24.0,0.0,1.0,0.0,0.0,637.0,Earth,False,55 Cancri e,False,F,4,P,0015,01,False
45.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,5,P,0016,01,True
0.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,0,P,0017,01,True
14.0,412.0,0.0,1.0,0.0,679.0,Earth,False,55 Cancri e,False,F,6,P,0017,02,False
1.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,E,0,S,0020,01,False
49.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,E,0,S,0020,02,False
29.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,E,0,S,0020,03,False
10.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,E,0,S,0020,04,True
1.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,E,0,S,0020,05,False
7.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,E,0,S,0020,06,False
21.0,980.0,2.0,69.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,D,0,P,0022,01,False
62.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,C,2,S,0024,01,True
15.0,0.0,225.0,0.0,998.0,0.0,Earth,False,TRAPPIST-1e,False,F,6,S,0025,01,False
34.0,22.0,5840.0,0.0,1438.0,328.0,Europa,False,55 Cancri e,False,C,0,P,0026,01,False
43.0,1125.0,0.0,136.0,48.0,0.0,Mars,False,TRAPPIST-1e,False,F,8,P,0028,01,False
32.0,0.0,850.0,81.0,437.0,453.0,Earth,False,TRAPPIST-1e,False,G,4,S,0030,01,False
47.0,214.0,0.0,1411.0,0.0,1229.0,Mars,False,TRAPPIST-1e,False,F,9,P,0031,01,True
